# section: strategy
name,Alpha AE6 MFI Williams Flush Fade 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,3.0
take_profit_pct,5.0
indicators,"mfi14(mfi, period=14), wr14(williams_r, period=14), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2025-07-29 ~ 2026-01-29 (UTC)
initial_capital,1000000 KRW
trading_bars,1105
warmup_bars,29
benchmark_pct,-21.9457
total_return_pct,-4.7424
cagr_pct,-9.1880
mdd_pct,-11.2870
sharpe_portfolio,-0.6545
sharpe_trade,-1.2215
trades,12
win_rate_before_fees_pct,50.00
profit_factor_before_fees,0.772063
sl_count,5
tp_count,2
sell_count,5
final_bar_count,0
total_fee,11543.0426

# section: trades
entry_dt,entry_price,exit_dt,exit_price,qty,pnl_pct,pnl_abs,exit_reason
2025-08-16 12:00:00 UTC,162804000.00000000,2025-08-19 20:00:00 UTC,157920000.00000000,0.00613928,-2.9999,-30968.7507,SL
2025-08-20 00:00:00 UTC,157180000.00000000,2025-08-22 08:00:00 UTC,158131000.00000000,0.00616202,+0.6050,4888.6047,sell
2025-08-25 08:00:00 UTC,155951000.00000000,2025-08-28 04:00:00 UTC,156404000.00000000,0.00624191,+0.2905,1852.7393,sell
2025-09-22 08:00:00 UTC,159104000.00000000,2025-09-24 16:00:00 UTC,160638000.00000000,0.00612985,+0.9641,8423.2047,sell
2025-10-29 16:00:00 UTC,166013000.00000000,2025-11-02 00:00:00 UTC,164001000.00000000,0.00592546,-1.2120,-12899.7679,sell
2025-11-03 16:00:00 UTC,158881000.00000000,2025-11-04 08:00:00 UTC,154115000.00000000,0.00611030,-2.9997,-30077.9395,SL
2025-11-15 00:00:00 UTC,143623000.00000000,2025-11-16 20:00:00 UTC,139314000.00000000,0.00655011,-3.0002,-29151.0582,SL
2025-12-01 04:00:00 UTC,129486000.00000000,2025-12-02 16:00:00 UTC,135960000.00000000,0.00704023,+4.9998,44644.0486,TP
2025-12-14 16:00:00 UTC,133185000.00000000,2025-12-15 16:00:00 UTC,129189000.00000000,0.00717973,-3.0003,-29632.0883,SL
2025-12-16 04:00:00 UTC,127691000.00000000,2025-12-17 12:00:00 UTC,134076000.00000000,0.00725670,+5.0004,45384.2472,TP
2026-01-08 04:00:00 UTC,132329000.00000000,2026-01-09 16:00:00 UTC,133899000.00000000,0.00734515,+1.1864,10554.1432,sell
2026-01-20 00:00:00 UTC,137010000.00000000,2026-01-20 20:00:00 UTC,132900000.00000000,0.00717120,-2.9998,-30441.4213,SL

# section: signals
timestamp,type
2025-07-29 00:00:00 UTC,sell
2025-07-29 04:00:00 UTC,sell
2025-07-29 08:00:00 UTC,sell
2025-07-29 12:00:00 UTC,sell
2025-07-29 16:00:00 UTC,sell
2025-07-29 20:00:00 UTC,sell
2025-07-30 00:00:00 UTC,sell
2025-07-30 16:00:00 UTC,sell
2025-07-31 00:00:00 UTC,sell
2025-07-31 04:00:00 UTC,sell
2025-07-31 08:00:00 UTC,sell
2025-07-31 12:00:00 UTC,sell
2025-07-31 16:00:00 UTC,sell
2025-07-31 20:00:00 UTC,sell
2025-08-01 00:00:00 UTC,sell
2025-08-03 20:00:00 UTC,sell
2025-08-04 00:00:00 UTC,sell
2025-08-04 04:00:00 UTC,sell
2025-08-04 08:00:00 UTC,sell
2025-08-04 12:00:00 UTC,sell
2025-08-04 16:00:00 UTC,sell
2025-08-04 20:00:00 UTC,sell
2025-08-05 00:00:00 UTC,sell
2025-08-05 04:00:00 UTC,sell
2025-08-05 08:00:00 UTC,sell
2025-08-05 12:00:00 UTC,sell
2025-08-06 16:00:00 UTC,sell
2025-08-06 20:00:00 UTC,sell
2025-08-07 12:00:00 UTC,sell
2025-08-07 16:00:00 UTC,sell
2025-08-07 20:00:00 UTC,sell
2025-08-08 00:00:00 UTC,sell
2025-08-08 04:00:00 UTC,sell
2025-08-08 08:00:00 UTC,sell
2025-08-08 12:00:00 UTC,sell
2025-08-08 16:00:00 UTC,sell
2025-08-09 08:00:00 UTC,sell
2025-08-09 12:00:00 UTC,sell
2025-08-09 16:00:00 UTC,sell
2025-08-10 04:00:00 UTC,sell
2025-08-10 12:00:00 UTC,sell
2025-08-10 16:00:00 UTC,sell
2025-08-10 20:00:00 UTC,sell
2025-08-11 00:00:00 UTC,sell
2025-08-11 04:00:00 UTC,sell
2025-08-11 08:00:00 UTC,sell
2025-08-11 12:00:00 UTC,sell
2025-08-11 16:00:00 UTC,sell
2025-08-11 20:00:00 UTC,sell
2025-08-12 00:00:00 UTC,sell
2025-08-12 04:00:00 UTC,sell
2025-08-12 08:00:00 UTC,sell
2025-08-12 12:00:00 UTC,sell
2025-08-12 16:00:00 UTC,sell
2025-08-12 20:00:00 UTC,sell
2025-08-13 20:00:00 UTC,sell
2025-08-14 00:00:00 UTC,sell
2025-08-14 04:00:00 UTC,sell
2025-08-14 08:00:00 UTC,sell
2025-08-16 12:00:00 UTC,buy
2025-08-19 16:00:00 UTC,buy
2025-08-19 20:00:00 UTC,buy
2025-08-20 00:00:00 UTC,buy
2025-08-22 08:00:00 UTC,sell
2025-08-22 16:00:00 UTC,sell
2025-08-22 20:00:00 UTC,sell
2025-08-23 00:00:00 UTC,sell
2025-08-23 04:00:00 UTC,sell
2025-08-23 08:00:00 UTC,sell
2025-08-23 12:00:00 UTC,sell
2025-08-23 16:00:00 UTC,sell
2025-08-23 20:00:00 UTC,sell
2025-08-24 00:00:00 UTC,sell
2025-08-24 04:00:00 UTC,sell
2025-08-24 08:00:00 UTC,sell
2025-08-25 08:00:00 UTC,buy
2025-08-26 16:00:00 UTC,buy
2025-08-28 04:00:00 UTC,sell
2025-08-28 08:00:00 UTC,sell
2025-08-28 12:00:00 UTC,sell
2025-08-28 16:00:00 UTC,sell
2025-08-29 00:00:00 UTC,sell
2025-09-01 08:00:00 UTC,sell
2025-09-01 20:00:00 UTC,sell
2025-09-02 00:00:00 UTC,sell
2025-09-02 04:00:00 UTC,sell
2025-09-02 08:00:00 UTC,sell
2025-09-02 12:00:00 UTC,sell
2025-09-02 16:00:00 UTC,sell
2025-09-02 20:00:00 UTC,sell
2025-09-03 00:00:00 UTC,sell
2025-09-03 04:00:00 UTC,sell
2025-09-03 08:00:00 UTC,sell
2025-09-03 12:00:00 UTC,sell
2025-09-03 16:00:00 UTC,sell
2025-09-03 20:00:00 UTC,sell
2025-09-04 00:00:00 UTC,sell
2025-09-04 04:00:00 UTC,sell
2025-09-04 08:00:00 UTC,sell
2025-09-04 12:00:00 UTC,sell
2025-09-04 16:00:00 UTC,sell
2025-09-04 20:00:00 UTC,sell
2025-09-05 00:00:00 UTC,sell
2025-09-05 04:00:00 UTC,sell
2025-09-05 08:00:00 UTC,sell
2025-09-05 12:00:00 UTC,sell
2025-09-05 16:00:00 UTC,sell
2025-09-08 12:00:00 UTC,sell
2025-09-08 16:00:00 UTC,sell
2025-09-08 20:00:00 UTC,sell
2025-09-09 00:00:00 UTC,sell
2025-09-09 08:00:00 UTC,sell
2025-09-10 08:00:00 UTC,sell
2025-09-10 16:00:00 UTC,sell
2025-09-10 20:00:00 UTC,sell
2025-09-11 00:00:00 UTC,sell
2025-09-11 04:00:00 UTC,sell
2025-09-11 08:00:00 UTC,sell
2025-09-11 12:00:00 UTC,sell
2025-09-11 16:00:00 UTC,sell
2025-09-11 20:00:00 UTC,sell
2025-09-12 00:00:00 UTC,sell
2025-09-12 04:00:00 UTC,sell
2025-09-12 08:00:00 UTC,sell
2025-09-12 12:00:00 UTC,sell
2025-09-12 16:00:00 UTC,sell
2025-09-12 20:00:00 UTC,sell
2025-09-13 00:00:00 UTC,sell
2025-09-13 04:00:00 UTC,sell
2025-09-13 08:00:00 UTC,sell
2025-09-16 16:00:00 UTC,sell
2025-09-16 20:00:00 UTC,sell
2025-09-17 00:00:00 UTC,sell
2025-09-17 04:00:00 UTC,sell
2025-09-17 08:00:00 UTC,sell
2025-09-17 12:00:00 UTC,sell
2025-09-18 00:00:00 UTC,sell
2025-09-18 04:00:00 UTC,sell
2025-09-18 08:00:00 UTC,sell
2025-09-18 12:00:00 UTC,sell
2025-09-18 16:00:00 UTC,sell
2025-09-18 20:00:00 UTC,sell
2025-09-19 00:00:00 UTC,sell
2025-09-19 04:00:00 UTC,sell
2025-09-19 08:00:00 UTC,sell
2025-09-19 12:00:00 UTC,sell
2025-09-19 16:00:00 UTC,sell
2025-09-19 20:00:00 UTC,sell
2025-09-20 00:00:00 UTC,sell
2025-09-20 04:00:00 UTC,sell
2025-09-20 08:00:00 UTC,sell
2025-09-20 12:00:00 UTC,sell
2025-09-20 16:00:00 UTC,sell
2025-09-22 08:00:00 UTC,buy
2025-09-24 16:00:00 UTC,sell
2025-09-24 20:00:00 UTC,sell
2025-09-25 00:00:00 UTC,sell
2025-09-28 16:00:00 UTC,sell
2025-09-28 20:00:00 UTC,sell
